episode_id,pacman_x,pacman_y,direction_right,direction_left,direction_up,direction_down,wall_right,wall_left,wall_up,wall_down,lives_remaining,ghost_b_x,ghost_b_y,ghost_b_dist,ghost_b_is_dangerous,ghost_p_x,ghost_p_y,ghost_p_dist,ghost_p_is_dangerous,ghost_i_x,ghost_i_y,ghost_i_dist,ghost_i_is_dangerous,ghost_c_x,ghost_c_y,ghost_c_dist,ghost_c_is_dangerous,nearest_seed_dx,nearest_seed_dy,nearest_seed_dist,seeds_right,seeds_left,seeds_down,seeds_up,nearest_energizer_dx,nearest_energizer_dy,nearest_energizer_dist,energizers_remaining,fruit_active,seeds_eaten_ratio,action
1,14,23,0,0,0,0,0,0,1,1,3,14,11,12.0,1,14,14,9.0,0,12,14,9.2195,0,16,14,9.2195,0,1,0,1.0,8,8,8,7,12,0,12.0,4,0,0.008264,none
2,14,23,0,0,0,0,0,0,1,1,3,14,11,12.0,1,14,14,9.0,0,12,14,9.2195,0,16,14,9.2195,0,1,0,1.0,8,8,8,7,12,0,12.0,4,0,0.008264,none
2,14,23,0,0,0,0,0,0,1,1,3,14,11,12.0,1,14,14,9.0,0,12,14,9.2195,0,16,14,9.2195,0,1,0,1.0,8,8,8,7,12,0,12.0,4,0,0.008264,none
2,14,23,0,0,0,0,0,0,1,1,3,14,11,12.0,1,14,14,9.0,0,12,14,9.2195,0,16,14,9.2195,0,1,0,1.0,8,8,8,7,12,0,12.0,4,0,0.008264,none
2,14,23,0,0,0,0,0,0,1,1,3,14,11,12.0,1,14,15,8.0,0,12,14,9.2195,0,16,14,9.2195,0,1,0,1.0,8,8,8,7,12,0,12.0,4,0,0.008264,none
2,14,23,0,0,0,0,0,0,1,1,3,14,11,12.0,1,14,15,8.0,0,12,13,10.198,0,16,13,10.198,0,1,0,1.0,8,8,8,7,12,0,12.0,4,0,0.008264,none
2,14,23,0,0,0,0,0,0,1,1,3,14,11,12.0,1,14,15,8.0,0,12,14,9.2195,0,16,14,9.2195,0,1,0,1.0,8,8,8,7,12,0,12.0,4,0,0.008264,none
2,14,23,0,0,0,0,0,0,1,1,3,14,11,12.0,1,14,14,9.0,0,12,14,9.2195,0,16,14,9.2195,0,1,0,1.0,8,8,8,7,12,0,12.0,4,0,0.008264,none
2,14,23,0,0,0,0,0,0,1,1,3,15,11,12.0416,1,14,14,9.0,0,12,14,9.2195,0,16,14,9.2195,0,1,0,1.0,8,8,8,7,12,0,12.0,4,0,0.008264,none
2,14,23,0,0,0,0,0,0,1,1,3,15,11,12.0416,1,14,14,9.0,0,12,14,9.2195,0,16,14,9.2195,0,1,0,1.0,8,8,8,7,12,0,12.0,4,0,0.008264,none
2,14,23,0,0,0,0,0,0,1,1,3,15,11,12.0416,1,14,14,9.0,0,12,14,9.2195,0,16,14,9.2195,0,1,0,1.0,8,8,8,7,12,0,12.0,4,0,0.008264,none
2,14,23,1,0,0,0,0,0,1,1,3,15,11,12.0416,1,14,14,9.0,0,12,14,9.2195,0,16,14,9.2195,0,1,0,1.0,8,8,8,7,12,0,12.0,4,0,0.008264,right
2,14,23,1,0,0,0,0,0,1,1,3,15,11,12.0416,1,14,14,9.0,0,12,14,9.2195,0,16,14,9.2195,0,1,0,1.0,8,8,8,7,12,0,12.0,4,0,0.008264,right
2,14,23,1,0,0,0,0,0,1,1,3,15,11,12.0416,1,14,14,9.0,0,12,14,9.2195,0,16,14,9.2195,0,1,0,1.0,8,8,8,7,12,0,12.0,4,0,0.008264,right
2,14,23,1,0,0,0,0,0,1,1,3,15,11,12.0416,1,14,14,9.0,0,12,15,8.2462,0,16,15,8.2462,0,1,0,1.0,8,8,8,7,12,0,12.0,4,0,0.008264,right
2,14,23,1,0,0,0,0,0,1,1,3,15,11,12.0416,1,14,13,10.0,0,12,15,8.2462,0,16,15,8.2462,0,1,0,1.0,8,8,8,7,12,0,12.0,4,0,0.008264,right
2,14,23,1,0,0,0,0,0,1,1,3,16,11,12.1655,1,14,14,9.0,0,12,15,8.2462,0,16,15,8.2462,0,1,0,1.0,8,8,8,7,12,0,12.0,4,0,0.008264,right
2,14,23,1,0,0,0,0,0,1,1,3,16,11,12.1655,1,14,14,9.0,0,12,14,9.2195,0,16,14,9.2195,0,1,0,1.0,8,8,8,7,12,0,12.0,4,0,0.008264,right
2,15,23,1,0,0,0,0,0,0,1,3,16,11,12.0416,1,14,14,9.0554,0,12,14,9.4868,0,16,14,9.0554,0,0,0,0.0,9,5,7,5,11,0,11.0,4,0,0.008264,right
2,15,23,1,0,0,0,0,0,0,1,3,16,11,12.0416,1,14,14,9.0554,0,12,14,9.4868,0,16,14,9.0554,0,0,0,0.0,9,5,7,5,11,0,11.0,4,0,0.008264,right
2,15,23,1,0,0,0,0,0,0,1,3,16,11,12.0416,1,14,14,9.0554,0,12,14,9.4868,0,16,14,9.0554,0,0,0,0.0,9,5,7,5,11,0,11.0,4,0,0.008264,right
2,15,23,1,0,0,0,0,0,0,1,3,16,11,12.0416,1,14,14,9.0554,0,12,14,9.4868,0,16,14,9.0554,0,0,0,0.0,9,5,7,5,11,0,11.0,4,0,0.008264,right
2,15,23,1,0,0,0,0,0,0,1,3,16,11,12.0416,1,14,14,9.0554,0,12,14,9.4868,0,16,14,9.0554,0,0,-1,1.0,8,5,6,5,11,0,11.0,4,0,0.012397,right
2,15,23,1,0,0,0,0,0,0,1,3,16,11,12.0416,1,14,14,9.0554,0,12,14,9.4868,0,16,14,9.0554,0,0,-1,1.0,8,5,6,5,11,0,11.0,4,0,0.012397,right
2,15,23,1,0,0,0,0,0,0,1,3,17,11,12.1655,1,14,14,9.0554,0,12,14,9.4868,0,16,14,9.0554,0,0,-1,1.0,8,5,6,5,11,0,11.0,4,0,0.012397,right
2,15,23,1,0,0,0,0,0,0,1,3,17,11,12.1655,1,14,14,9.0554,0,12,13,10.4403,0,16,13,10.0499,0,0,-1,1.0,8,5,6,5,11,0,11.0,4,0,0.012397,right
2,16,23,1,0,0,0,0,0,1,1,3,17,11,12.0416,1,14,14,9.2195,0,12,14,9.8489,0,16,14,9.0,0,0,0,0.0,7,6,10,6,10,0,10.0,4,0,0.012397,right
2,16,23,1,0,0,0,0,0,1,1,3,17,11,12.0416,1,14,14,9.2195,0,12,14,9.8489,0,16,14,9.0,0,0,0,0.0,7,6,10,6,10,0,10.0,4,0,0.012397,right
2,16,23,1,0,0,0,0,0,1,1,3,17,11,12.0416,1,14,14,9.2195,0,12,14,9.8489,0,16,14,9.0,0,0,0,0.0,7,6,10,6,10,0,10.0,4,0,0.012397,right
2,16,23,1,0,0,0,0,0,1,1,3,17,11,12.0416,1,14,14,9.2195,0,12,14,9.8489,0,16,14,9.0,0,0,0,0.0,7,6,10,6,10,0,10.0,4,0,0.012397,right
2,16,23,1,0,0,0,0,0,1,1,3,17,11,12.0416,1,14,14,9.2195,0,12,14,9.8489,0,16,14,9.0,0,1,0,1.0,6,6,9,6,10,0,10.0,4,0,0.016529,right
2,16,23,1,0,0,0,0,0,1,1,3,17,11,12.0416,1,14,13,10.198,0,12,14,9.8489,0,16,14,9.0,0,1,0,1.0,6,6,9,6,10,0,10.0,4,0,0.016529,right
2,16,23,1,0,0,0,0,0,1,1,3,18,11,12.1655,1,14,13,10.198,0,12,14,9.8489,0,16,14,9.0,0,1,0,1.0,6,6,9,6,10,0,10.0,4,0,0.016529,right
2,16,23,1,0,0,0,0,0,1,1,3,18,11,12.1655,1,14,13,10.198,0,12,14,9.8489,0,16,14,9.0,0,1,0,1.0,6,6,9,6,10,0,10.0,4,0,0.016529,right
2,17,23,1,0,0,0,0,0,1,1,3,18,11,12.0416,1,14,13,10.4403,0,12,15,9.434,0,16,15,8.0623,0,0,0,0.0,11,5,10,7,9,0,9.0,4,0,0.016529,right
2,17,23,1,0,0,0,0,0,1,1,3,18,11,12.0416,1,14,13,10.4403,0,12,15,9.434,0,16,15,8.0623,0,0,0,0.0,11,5,10,7,9,0,9.0,4,0,0.016529,right
2,17,23,1,0,0,0,0,0,1,1,3,18,11,12.0416,1,14,13,10.4403,0,12,15,9.434,0,16,15,8.0623,0,0,0,0.0,11,5,10,7,9,0,9.0,4,0,0.016529,right
2,17,23,1,0,0,0,0,0,1,1,3,18,11,12.0416,1,14,13,10.4403,0,12,14,10.2956,0,16,14,9.0554,0,0,0,0.0,11,5,10,7,9,0,9.0,4,0,0.016529,right
2,17,23,1,0,0,0,0,0,1,1,3,18,11,12.0416,1,14,13,10.4403,0,12,14,10.2956,0,16,14,9.0554,0,1,0,1.0,10,5,9,7,9,0,9.0,4,0,0.020661,right
2,17,23,1,0,0,0,0,0,1,1,3,18,11,12.0416,1,14,12,11.4018,0,12,14,10.2956,0,16,14,9.0554,0,1,0,1.0,10,5,9,7,9,0,9.0,4,0,0.020661,right
2,17,23,1,0,0,0,0,0,1,1,3,18,12,11.0454,1,14,12,11.4018,0,12,14,10.2956,0,16,14,9.0554,0,1,0,1.0,10,5,9,7,9,0,9.0,4,0,0.020661,right
2,17,23,1,0,0,0,0,0,1,1,3,18,12,11.0454,1,14,12,11.4018,0,12,14,10.2956,0,16,14,9.0554,0,1,0,1.0,10,5,9,7,9,0,9.0,4,0,0.020661,right
2,18,23,1,0,0,0,0,0,1,0,3,18,12,11.0,1,14,12,11.7047,0,12,14,10.8167,0,16,14,9.2195,0,0,0,0.0,10,2,8,5,8,0,8.0,4,0,0.020661,right
2,18,23,1,0,0,0,0,0,1,0,3,18,12,11.0,1,14,12,11.7047,0,12,14,10.8167,0,16,14,9.2195,0,0,0,0.0,10,2,8,5,8,0,8.0,4,0,0.020661,right
2,18,23,1,0,0,0,0,0,1,0,3,18,12,11.0,1,14,12,11.7047,0,12,14,10.8167,0,16,14,9.2195,0,0,0,0.0,10,2,8,5,8,0,8.0,4,0,0.020661,right
2,18,23,1,0,0,0,0,0,1,0,3,18,12,11.0,1,14,12,11.7047,0,12,14,10.8167,0,16,13,10.198,0,0,0,0.0,10,2,8,5,8,0,8.0,4,0,0.020661,right
2,18,23,1,0,0,0,0,0,1,0,3,18,12,11.0,1,14,12,11.7047,0,12,14,10.8167,0,16,14,9.2195,0,1,0,1.0,9,2,7,5,8,0,8.0,4,0,0.024793,right
2,18,23,1,0,0,0,0,0,1,0,3,18,12,11.0,1,14,11,12.6491,0,13,14,10.2956,0,16,14,9.2195,0,1,0,1.0,9,2,7,5,8,0,8.0,4,0,0.024793,right
2,18,23,1,0,0,0,0,0,1,0,3,18,13,10.0,1,14,11,12.6491,0,13,14,10.2956,0,16,14,9.2195,0,1,0,1.0,9,2,7,5,8,0,8.0,4,0,0.024793,right
2,18,23,1,0,0,0,0,0,1,0,3,18,13,10.0,1,14,11,12.6491,0,13,14,10.2956,0,16,14,9.2195,0,1,0,1.0,9,2,7,5,8,0,8.0,4,0,0.024793,right
2,19,23,1,0,0,0,0,0,1,1,3,18,13,10.0499,1,14,11,13.0,1,13,14,10.8167,0,16,14,9.4868,0,0,0,0.0,7,4,10,9,7,0,7.0,4,0,0.024793,right
2,19,23,1,0,0,0,0,0,1,1,3,18,13,10.0499,1,14,11,13.0,1,13,14,10.8167,0,16,14,9.4868,0,0,0,0.0,7,4,10,9,7,0,7.0,4,0,0.024793,right
2,19,23,1,0,0,0,0,0,1,1,3,18,13,10.0499,1,14,11,13.0,1,13,14,10.8167,0,16,14,9.4868,0,0,0,0.0,7,4,10,9,7,0,7.0,4,0,0.024793,right
2,19,23,1,0,0,0,0,0,1,1,3,18,13,10.0499,1,14,11,13.0,1,13,14,10.8167,0,16,14,9.4868,0,0,0,0.0,7,4,10,9,7,0,7.0,4,0,0.024793,right
2,19,23,1,0,0,0,0,0,1,1,3,18,13,10.0499,1,14,11,13.0,1,13,14,10.8167,0,16,15,8.544,0,1,0,1.0,6,4,9,9,7,0,7.0,4,0,0.028926,right
2,19,23,1,0,0,0,0,0,1,1,3,18,13,10.0499,1,14,11,13.0,1,14,14,10.2956,0,16,15,8.544,0,1,0,1.0,6,4,9,9,7,0,7.0,4,0,0.028926,right
2,19,23,1,0,0,0,0,0,1,1,3,18,14,9.0554,1,14,11,13.0,1,14,14,10.2956,0,15,15,8.9443,0,1,0,1.0,6,4,9,9,7,0,7.0,4,0,0.028926,right
2,19,23,1,0,0,0,0,0,1,1,3,18,14,9.0554,1,14,11,13.0,1,14,14,10.2956,0,15,15,8.9443,0,1,0,1.0,6,4,9,9,7,0,7.0,4,0,0.028926,right
2,20,23,1,0,0,0,0,0,1,1,3,18,14,9.2195,1,15,11,13.0,1,14,14,10.8167,0,15,15,9.434,0,0,0,0.0,9,4,9,9,6,0,6.0,4,0,0.028926,right
2,20,23,1,0,0,0,0,0,1,1,3,18,14,9.2195,1,15,11,13.0,1,14,14,10.8167,0,15,15,9.434,0,0,0,0.0,9,4,9,9,6,0,6.0,4,0,0.028926,right
2,20,23,1,0,0,0,0,0,1,1,3,18,14,9.2195,1,15,11,13.0,1,14,14,10.8167,0,15,15,9.434,0,0,0,0.0,9,4,9,9,6,0,6.0,4,0,0.028926,right
2,20,23,1,0,0,0,0,0,1,1,3,18,14,9.2195,1,15,11,13.0,1,14,13,11.6619,0,15,15,9.434,0,0,0,0.0,9,4,9,9,6,0,6.0,4,0,0.028926,right
2,20,23,1,0,0,0,0,0,1,1,3,18,14,9.2195,1,15,11,13.0,1,14,13,11.6619,0,15,15,9.434,0,1,0,1.0,8,4,8,9,6,0,6.0,4,0,0.033058,right
2,20,23,1,0,0,0,0,0,1,1,3,18,14,9.2195,1,15,11,13.0,1,14,13,11.6619,0,15,15,9.434,0,1,0,1.0,8,4,8,9,6,0,6.0,4,0,0.033058,right
2,20,23,1,0,0,0,0,0,1,1,3,18,15,8.2462,1,15,11,13.0,1,14,13,11.6619,0,14,15,10.0,0,1,0,1.0,8,4,8,9,6,0,6.0,4,0,0.033058,right
2,20,23,1,0,0,0,0,0,1,1,3,18,15,8.2462,1,15,11,13.0,1,14,13,11.6619,0,14,15,10.0,0,1,0,1.0,8,4,8,9,6,0,6.0,4,0,0.033058,right
2,21,23,1,0,0,0,1,0,0,0,3,18,15,8.544,1,16,11,13.0,1,14,13,12.2066,0,14,15,10.6301,0,0,0,0.0,9,2,6,9,5,0,5.0,4,0,0.033058,right
2,21,23,1,0,0,0,1,0,0,0,3,18,15,8.544,1,16,11,13.0,1,14,13,12.2066,0,14,15,10.6301,0,0,0,0.0,9,2,6,9,5,0,5.0,4,0,0.033058,right
2,21,23,1,0,0,0,1,0,0,0,3,18,15,8.544,1,16,11,13.0,1,14,13,12.2066,0,14,15,10.6301,0,0,0,0.0,9,2,6,9,5,0,5.0,4,0,0.033058,right
2,21,23,1,0,0,0,1,0,0,0,3,18,15,8.544,1,16,11,13.0,1,14,12,13.0384,0,14,15,10.6301,0,0,0,0.0,9,2,6,9,5,0,5.0,4,0,0.033058,right
2,21,23,1,0,0,0,1,0,0,0,3,18,15,8.544,1,16,11,13.0,1,14,12,13.0384,0,14,15,10.6301,0,0,-1,1.0,8,2,5,9,5,0,5.0,4,0,0.03719,right
2,21,23,0,0,0,0,1,0,0,0,3,18,15,8.544,1,16,11,13.0,1,14,12,13.0384,0,14,15,10.6301,0,0,-1,1.0,8,2,5,9,5,0,5.0,4,0,0.03719,none
2,21,23,0,0,0,1,1,0,0,0,3,18,16,7.6158,1,16,11,13.0,1,14,12,13.0384,0,14,15,10.6301,0,0,-1,1.0,8,2,5,9,5,0,5.0,4,0,0.03719,down
2,21,23,0,0,0,1,1,0,0,0,3,18,16,7.6158,1,16,11,13.0,1,14,12,13.0384,0,14,14,11.4018,0,0,-1,1.0,8,2,5,9,5,0,5.0,4,0,0.03719,down
2,21,23,0,0,0,1,1,0,0,0,3,18,16,7.6158,1,17,11,12.6491,1,14,12,13.0384,0,14,14,11.4018,0,0,-1,1.0,8,2,5,9,5,0,5.0,4,0,0.03719,down
